clinic,city,department,job_title,qualification,pay_grade,pay_text,housing,housing_quote,employment_type,requirements_must,experience_required,confidence,confidence_why,job_url
Krankenhaus Lauf,Lauf an der Pegnitz,Anästhesieabteilung,Pflegefachkraft (m/w/d) für die Anästhesieabteilung,pflegefachkraft,,,unklar,,"Voll- oder Teilzeit, unbefristet",abgeschlossene Ausbildung Gesundheits- und Krankenpfleger/in bzw. Pflegefachfrau/Pflegefachmann oder vergleichbar,Abgeschlossene Weiterbildung für Anästhesie und Intensivpflege wünschenswert,3,"Zuordnung aus dem vorherigen Lauf übernommen; Ort der Stelle nicht belegt · pay_text auf der Seite nicht gefunden, geleert",https://jobs.klinikum-nuernberg.de/de/jobs/21245/pflegefachkraft-mwd-fur-die-anasthesieabteilung
Krankenhaus Lauf,Lauf an der Pegnitz,Notaufnahme,Pflegefachkraft (m/w/d) für die Notaufnahme,pflegefachkraft,,,unklar,,"Voll- oder Teilzeit, unbefristet",abgeschlossene Ausbildung Gesundheits- und Krankenpfleger/in bzw. Pflegefachfrau/Pflegefachmann oder vergleichbar,Vorhandene Fachweiterbildung Notfallpflege oder die Bereitschaft diese noch zu absolvieren,3,"Zuordnung aus dem vorherigen Lauf übernommen; Ort der Stelle nicht belegt · pay_text auf der Seite nicht gefunden, geleert",https://jobs.klinikum-nuernberg.de/de/jobs/21470/pflegefachkraft-mwd-fur-die-notaufnahme
Krankenhaus Lauf,Lauf an der Pegnitz,interdisziplinäre Intensivstation,Pflegefachkraft (m/w/d) für die interdisziplinäre Intensivstation mit 12 Betten,pflegefachkraft,,,unklar,,"Voll- oder Teilzeit, unbefristet",abgeschlossene Ausbildung Gesundheits- und Krankenpfleger/in bzw. Pflegefachfrau/Pflegefachmann oder vergleichbar,Abgeschlossene Weiterbildung für Anästhesie und Intensivpflege wünschenswert,3,"Zuordnung aus dem vorherigen Lauf übernommen; Ort der Stelle nicht belegt · pay_text auf der Seite nicht gefunden, geleert",https://jobs.klinikum-nuernberg.de/de/jobs/21306/pflegefachkraft-mwd-fur-die-interdisziplinare-intensivstation-mit-12-betten
Krankenhaus Martha-Maria München,München,,Pflegefachhelfer (m/w/d),hilfskraft,,"Gehalt (Vollzeit/Monatsbrutto) 3.354,94 € – 3.830,32 € pro Monat (AVR-EmK); Willkommensprämie bis zu 4.000 €",nein,,,abgeschlossene einjährige Ausbildung als Pflegefachhelfer (m/w/d),Idealerweise haben Sie bereits in einem Krankenhaus gearbeitet,4,Zuordnung aus dem vorherigen Lauf übernommen,https://kh-muenchen.martha-maria.de/unser-haus/stellenangebote/detailansicht/pflegefachhelfer-m-w-d-4
Krankenhaus Martha-Maria München,München,interdisziplinäre chirurgische Station (anteilig internistisch/gastroenterologisch),Pflegefachkraft Chirurgie (m/w/d),pflegefachkraft,,"Gehalt (Vollzeit/Monatsbrutto) 3.874,15 € – 4.545,76 € pro Monat (AVR-EmK); Willkommensprämie bis zu 4.000 €",nein,,Diese Stelle kann in Voll- oder Teilzeit besetzt werden,"abgeschlossene Ausbildung als examinierte Pflegefachkraft (m/w/d), Pflegefachmann (m/w/d) oder Gesundheits- und Krankenpfleger (m/w/d) | alternativ Altenpflegefachkraft mit Erfahrung im Krankenhaus",idealerweise Erfahrung im Bereich der Chirurgie oder Orthopädie,4,Zuordnung aus dem vorherigen Lauf übernommen,https://kh-muenchen.martha-maria.de/unser-haus/stellenangebote/detailansicht/pflegefachkraft-chirurgie-m-w-d-2
Krankenhaus Martha-Maria München,München,Intensivstation (6 Betten),Pflegefachkraft Intensiv (m/w/d),pflegefachkraft,,"Gehalt (Vollzeit/Monatsbrutto) 4.242,44 € – 5.004 € pro Monat (AVR-EmK); Willkommensprämie bis zu 4.000 €",nein,,Diese Stelle kann in Voll- oder Teilzeit besetzt werden,abgeschlossene Ausbildung als Gesundheits- und Krankenpfleger (m/w/d) oder Pflegefachkraft (m/w/d) | alternativ Altenpflegefachkraft mit Erfahrung im Krankenhaus,Idealerweise Fachweiterbildung für die Intensivpflege oder erste Erfahrungen in der Intensivpflege,4,Zuordnung aus dem vorherigen Lauf übernommen,https://kh-muenchen.martha-maria.de/unser-haus/stellenangebote/detailansicht/pflegefachkraft-intensiv-m-w-d
Krankenhaus Martha-Maria München,München,Station (Krankenhaus München-Solln),Pflegefachkraft als stellvertretende Stationsleitung (m/w/d),leitung,,"Gehalt (Vollzeit/Monatsbrutto) 4.242,44 € – 5.004 € pro Jahr (AVR-EmK); Willkommensprämie bei einer Vollzeitbeschäftigung in Höhe von bis zu 4.000 €",nein,,,Eine staatliche Anerkennung als Pflegefachkraft (m/w/d) oder Gesundheits- und Krankenpfleger (m/w/d),mehrjährige Berufserfahrung als solche,4,Zuordnung aus dem vorherigen Lauf übernommen,https://kh-muenchen.martha-maria.de/unser-haus/stellenangebote/detailansicht/pflegefachkraft-als-stellvertretende-stationsleitung-m-w-d
Krankenhaus Martha-Maria Nürnberg,Nürnberg,Innere Medizin / gastroenterologische Station,Pflegefachkraft Innere Medizin (m/w/d),pflegefachkraft,,"3.847,15 € – 4.545,76 € pro Monat (AVR-EmK)",ja,Mitarbeiterwohnungen nach Verfügbarkeit,,"Ausbildung als Gesundheits- und Krankenpfleger (m/w/d), Pflegefachkraft/Pflegefachmann (m/w/d)",,4,Zuordnung aus dem vorherigen Lauf übernommen,https://kh-nuernberg.martha-maria.de/karriere-ausbildung/stellenangebote/detailansicht/pflegefachkraft-innere-medizin-m-w-d-5
Krankenhaus Martha-Maria Nürnberg,Nürnberg,Orthopädie,Pflegefachkraft Orthopädie (m/w/d),pflegefachkraft,,"3.874,15 € – 4.545,46 € pro Monat (AVR-EmK)",ja,Mitarbeiterwohnungen nach Verfügbarkeit,,"abgeschlossene Ausbildung als Pflegefachkraft (m/w/d), Pflegefachmann (m/w/d) oder Gesundheits- und Krankenpfleger (m/w/d)",,4,Zuordnung aus dem vorherigen Lauf übernommen,https://kh-nuernberg.martha-maria.de/karriere-ausbildung/stellenangebote/detailansicht/pflegefachkraft-orthopaedie-m-w-d
Krankenhaus Neuwittelsbach,München,Allgemeinen Station,Gesundheits- und Krankenpfleger (m/w/d),pflegefachkraft,,Eine attraktive Vergütung nach AVR Caritas,ja,"Eigene, preiswerte Mitarbeiterwohnungen (nach Verfügbarkeit)",vollzeit_teilzeit,"Eine abgeschlossene Ausbildung als Gesundheits- und Krankenpfleger, Pflegefachkraft Krankenschwester/Pfleger oder Altenpfleger (m/w/d) | Fachkompetenter Mitarbeiter (m/w) mit Know-how im Arbeitsalltag | Eine aufgeschlossene und flexible Persönlichkeit, die gerne Aufgaben im Team übernimmt | Eine selbstständige Arbeitsweise, Verantwortungsbewusstsein und Engagement, um unserer hochwertige pflegerische Qualität für unsere Patienten/innen",,3,"einzige Klinik am Portal, Ort der Anzeige unbekannt; Ort der Stelle nicht belegt",https://karriere.barmherzige.net/jobs/gesundheits-und-krankenpfleger-mwd-43108366
Krankenhaus Neuwittelsbach,München,Akutgeriatrie,Gesundheits- und Krankenpfleger - Akutgeriatrie (m/w/d),pflegefachkraft,,Eine Attraktive Vergütung nach AVR Caritas,ja,"Eigene, preiswerte Mitarbeiterwohnung (nach Verfügbarkeit)",vollzeit_teilzeit,"Eine abgeschlossene Ausbildung als Gesundheits- und Krankenpfleger, Pflegefachkraft Krankenschwester/Pfleger oder Altenpfleger (m/w/d) | Fachkompetenter Mitarbeiter (m/w) mit Erfahrung in der Akutgeriatrie | Eine aufgeschlossene und flexible Persönlichkeit, die gerne Aufgaben im Team übernimmt | Eine selbstständige Arbeitsweise, Verantwortungsbewusstsein und Engagement, um unsere hochwertige pflegerische Qualität für unsere Patienten/innen",,3,"einzige Klinik am Portal, Ort der Anzeige unbekannt; Ort der Stelle nicht belegt",https://karriere.barmherzige.net/jobs/gesundheits-und-krankenpfleger-akutgeriatrie-mwd-43011143
Krankenhaus Neuwittelsbach,München,Allgemeinen Station oder Intensivstation,Gesundheits- und Krankenpfleger - Dauernachtwache (m/w/d),pflegefachkraft,,Eine Attraktive Vergütung nach AVR Caritas,ja,"Eigene, preiswerte Mitarbeiterwohnungen (nach Verfügbarkeit)",vollzeit_teilzeit,"Eine abgeschlossene Ausbildung als Gesundheits- und Krankenpfleger, Pflegefachkraft Krankenschwester/Pfleger oder Altenpfleger (m/w/d) | Freude am Nachdienst | Fachkompetenter Mitarbeiter (m/w) mit Know-how im Arbeitsalltag | Eine aufgeschlossene und flexible Persönlichkeit, die gerne Aufgaben im Team übernimmt | Eine selbstständige Arbeitsweise, Verantwortungsbewusstsein und Engagement, um unsere hochwertige pflegerische Qualität für unsere Patienten/innen",,3,"einzige Klinik am Portal, Ort der Anzeige unbekannt; Ort der Stelle nicht belegt",https://karriere.barmherzige.net/jobs/gesundheits-und-krankenpfleger-dauernachtwache-mwd-43159655
Krankenhaus Neuwittelsbach,München,Intermediatecarestation mit Intensivbetten,Pflegefachkraft auf einer Intermediatecarestation mit Intensivbetten (m/w/d),fachweiterbildung,,Eine attraktive Vergütung nach AVR Caritas,ja,"Eigene, preiswerte Mitarbeiterwohnungen (nach Verfügbarkeit)",vollzeit_teilzeit,"Eine abgeschlossene Ausbildung als Gesundheits- und Krankenpfleger, Pflegefachkraft Krankenschwester/Pfleger oder Altenpfleger (m/w/d) | Fachkompetenter Mitarbeiter (m/w) mit Intensiverfahrung | Eine aufgeschlossene und flexible Persönlichkeit, die gerne Aufgaben im Team übernimmt | Eine selbstständige Arbeitsweise, Verantwortungsbewusstsein und Engagement, um unsere hochwertige pflegerische Qualität für unsere Patienten/innen",,3,"einzige Klinik am Portal, Ort der Anzeige unbekannt; Ort der Stelle nicht belegt",https://karriere.barmherzige.net/jobs/pflegefachkraft-auf-einer-intermediatecarestation-mit-intensivbetten-mwd-43104684
Krankenhaus Rotthalmünster,Rotthalmünster,Intensiv (und IMC),Examinierte Pflegefachkraft (m/w/d) für die Intensiv (und IMC),pflegefachkraft,,Die Eingruppierung erfolgt nach tariflichen Vorgaben entsprechend der vorhandenen Ausbildung in P 8 TVöD bzw. P 9 TVöD bei Vorliegen einer abgeschlossenen Fachweiterbildung in dem jeweiligen Bereich.,ja,Günstig wohnen und leben in der neuen Appartement-Wohnanlage in Rotthalmünster,"Stellenumfang: 1,0 VK = 38,5 WStd.; Die Stelle ist grundsätzlich teilzeitfähig","Abgeschlossene dreijährige Ausbildung: Gesundheits- und Krankenpflege, Altenpflege oder Pflegefachfrau/-mann | Vollständiger Masernschutz",Wünschenswert: Fachweiterbildung im Bereich Anästhesie und Intensivpflege; Wünschenswert: Mehrjährige Erfahrung im intensivmedizinischen bzw. notfallmedizinischen Bereich,4,"Zuordnung aus dem vorherigen Lauf übernommen · pay_grade auf der Seite nicht gefunden, geleert",https://karriere.ge-passau.de/stellen/examinierte-pflegefachkraft-mwd-f%C3%BCr-die-intensiv-und-imc-1/
Krankenhaus Rotthalmünster,Rotthalmünster,Zentrale Notaufnahme (ZNA),Examinierte Pflegefachkraft (m/w/d) für die zentrale Notaufnahme (ZNA),pflegefachkraft,,Die Eingruppierung erfolgt nach tariflichen Vorgaben entsprechend der vorhandenen Ausbildung in P 8 TVöD. Bei Vorliegen einer abgeschlossenen Fachweiterbildung Notfallpflege erfolgt die Eingruppierung in P 9 TVöD.,ja,Günstig wohnen und leben in der neuen Appartement-Wohnanlage in Rotthalmünster,"Stellenumfang: 1,0 VK = 38,5 WStd.; Die Stelle ist grundsätzlich teilzeitfähig","Abgeschlossene dreijährige Ausbildung: Gesundheits- und Krankenpflege, Altenpflege oder Pflegefachfrau/-mann | Vollständiger Masernschutz",Wünschenswert: Fachweiterbildung im Bereich Notfallpflege; Wünschenswert: Mehrjährige Erfahrung im Notaufnahmebereich,4,"Zuordnung aus dem vorherigen Lauf übernommen · pay_grade auf der Seite nicht gefunden, geleert",https://karriere.ge-passau.de/stellen/examinierte-pflegefachkraft-mwd-f%C3%BCr-die-zentrale-notaufnahme-zna/
Krankenhaus Rotthalmünster,Rotthalmünster,Funktionsdienst Anästhesie,Pflegefachkraft (m/w/d) - Funktionsdienst Anästhesie,pflegefachkraft,,Die Eingruppierung erfolgt nach tariflichen Vorgaben entsprechend der vorhandenen Ausbildung in P 8 TVöD bzw. P 9 TVöD bei Vorliegen einer abgeschlossenen Fachweiterbildung in dem jeweiligen Bereich.,ja,Günstig wohnen und leben in der neuen Appartement-Wohnanlage in Rotthalmünster,"Stellenumfang: 1,0 VK = 38,5 WStd.; Die Stelle ist grundsätzlich teilzeitfähig",Abgeschlossene dreijährige Ausbildung zum Gesundheits- und Krankenpfleger (m/w/d) oder Pflegefachmann/-frau | Vollständiger Masernschutz,Wünschenswert: Fachweiterbildung im Bereich Intensivpflege und Anästhesie,4,"Zuordnung aus dem vorherigen Lauf übernommen · pay_grade auf der Seite nicht gefunden, geleert",https://karriere.ge-passau.de/stellen/pflegefachkraft-mwd---funktionsdienst-an%C3%A4sthesie/
Krankenhaus Rotthalmünster,Rotthalmünster,Herzkatheterlabor,Pflegefachkraft (m/w/d) Herzkatheterlabor,pflegefachkraft,,Die Eingruppierung erfolgt nach tariflichen Vorgaben entsprechend der vorhandenen Ausbildung in EG P 8 TVöD,ja,Günstig wohnen und leben in der neuen Appartement-Wohnanlage in Rotthalmünster,"Stellenumfang: 1,0 VK = 38,5 WStd.; Die Stelle ist grundsätzlich teilzeitfähig",Abgeschlossene dreijährige Ausbildung zum Gesundheits- und Krankenpfleger (m/w/d) oder Pflegefachmann/-frau | Vollständiger Masernschutz,Wünschenswert: Mehrjährige Erfahrung im kardiologischen oder intensivmedizinischen Bereich,4,"Zuordnung aus dem vorherigen Lauf übernommen · pay_grade auf der Seite nicht gefunden, geleert",https://karriere.ge-passau.de/stellen/pflegefachkraft-mwd-herzkatheterlabor-1/
Krankenhaus Rotthalmünster,Rotthalmünster,Internistische & Chirurgische Stationen,Pflegefachkraft (m/w/d) Internistische & Chirurgische Stationen,pflegefachkraft,,Die Eingruppierung erfolgt unter Vorliegen der tariflichen Voraussetzungen der TVöD,ja,Günstig wohnen und leben in der neuen Appartement-Wohnanlage in Rotthalmünster,"Stellenumfang: 1,0 VK = 38,5 WStd.; Die Stelle ist grundsätzlich teilzeitfähig; Die Stellen sind unbefristet",Erfolgreich abgeschlossene Ausbildung zum Gesundheits- und Krankenpfleger (m/w/d) oder Altenpfleger (m/w/d) | Vollständiger Masernschutz,,4,Klinik nach Anzeigenort korrigiert,https://karriere.ge-passau.de/stellen/pflegefachkraft-mwd-internistische--chirurgische-stationen-1/
Krankenhaus Rotthalmünster,Rotthalmünster,Stroke Unit,Pflegefachkraft (m/w/d) Stroke Unit,pflegefachkraft,,Die Eingruppierung erfolgt nach tariflichen Vorgaben entsprechend der vorhandenen Ausbildung in EG P 8 TVöD,ja,Günstig wohnen und leben in der neuen Appartement-Wohnanlage in Rotthalmünster,"Stellenumfang: 1,0 VK = 38,5 WStd.; Die Stelle ist grundsätzlich teilzeitfähig","Abgeschlossene dreijährige Ausbildung zur Gesundheits- und Krankenpfleger (m/w/d), Altenpfleger (m/w/d), Pflegefachmann (m/w/d) | Vollständiger Masernschutz",Wünschenswert: Fort- und Weiterbildungen im Bereich der Neurologie bzw. Schlaganfallpatientenversorgung,4,"Zuordnung aus dem vorherigen Lauf übernommen · pay_grade auf der Seite nicht gefunden, geleert",https://karriere.ge-passau.de/stellen/pflegefachkraft-mwd-stroke-unit-1/
Krankenhaus Rummelsberg,Schwarzenbruck,Geriatrie,Advanced Practice Nurse (m/w/d) Schwerpunkt Geriatrie / Delirmanagement,unklar,,,unklar,,,"Eine Ausbildung in der Gesundheits- und Krankenpflege sowie ein abgeschlossenes wissenschaftliches Hochschulstudium auf Masterniveau in Pflegewissenschaften oder Advanced Practice Nursing | Fundierte Kenntnisse im Bereich Geriatrie und Delirmanagement | Interesse an Forschung, Qualitätsentwicklung und Wissensvermittlung | Hohe kommunikative Kompetenz und Eigenverantwortung | Freude an interdisziplinärer Zusammenarbeit und Veränderungsprozessen",,5,"pay_text auf der Seite nicht gefunden, geleert",https://jobs.sana.de/de/sites/CX_4025/job/4839
Krankenhaus Rummelsberg,Schwarzenbruck,,Initiativbewerbung Pflegebereich (m/w/d),pflegefachkraft,,,,,,"Abgeschlossene Ausbildung als Pflegefachkraft (m/w/d), Gesundheits- und Krankenpfleger (m/w/d) oder Altenpfleger (m/w/d) | Ausgeprägtes Verantwortungsbewusstsein und Aufgeschlossenheit | Hohe Motivation, Dein Fachwissen in der Pflege einzubringen | Begeisterungsfähigkeit sowie Integrität und Teamorientierung",,5,"pay_text auf der Seite nicht gefunden, geleert",https://jobs.sana.de/de/sites/CX_4025/job/4193
Krankenhaus Rummelsberg,Schwarzenbruck,,Pflegefachkraft (m/w/d),pflegefachkraft,,,unklar,,,"Du hast eine abgeschlossene Ausbildung als Pflegefachkraft: Gesundheits- und Krankenpfleger (m/w/d) oder Altenpfleger (m/w/d) | Der einfühlsame Umgang mit Menschen bereitet dir Freude und liegt dir am Herzen | Du möchtest Teil eines engagierten Teams werden und aktiv zu einer positiven Arbeitsatmosphäre beitragen | Eigeninitiative, Anpassungsfähigkeit, Teamgeist, Engagement sowie eine zuverlässige und sorgfältige Arbeitsweise zeichnen dich aus | Die Bereitschaft zur fachlichen Weiterentwicklung rundet dein Profil ab",,5,"pay_text auf der Seite nicht gefunden, geleert",https://jobs.sana.de/de/sites/CX_4025/job/3599
Krankenhaus Rummelsberg,Schwarzenbruck,,Pflegefachkraft (m/w/d),pflegefachkraft,,,,,,"Du hast eine abgeschlossene Ausbildung als Pflegefachkraft: Gesundheits- und Krankenpfleger (m/w/d) oder Altenpfleger (m/w/d) | Der einfühlsame Umgang mit Menschen bereitet dir Freude und liegt dir am Herzen | Du möchtest Teil eines engagierten Teams werden und aktiv zu einer positiven Arbeitsatmosphäre beitragen | Eigeninitiative, Anpassungsfähigkeit, Teamgeist, Engagement sowie eine zuverlässige und sorgfältige Arbeitsweise zeichnen dich aus | Die Bereitschaft zur fachlichen Weiterentwicklung rundet dein Profil ab",,5,"pay_text auf der Seite nicht gefunden, geleert",https://jobs.sana.de/de/sites/CX_4025/job/4213
Krankenhaus Rummelsberg,Schwarzenbruck,Neurourologie,Pflegefachkraft (m/w/d) Neurourologie,pflegefachkraft,,,unklar,,,"Abgeschlossene Ausbildung als Medizinische Fachangestellte, Pflegefachkraft, Krankenpflegehelfer oder vergleichbare medizinische Qualifikation | Selbstständige, strukturierte und verantwortungsbewusste Arbeitsweise | Teamgeist und Freude an der interdisziplinären Zusammenarbeit | Offenheit für neue Fachbereiche – idealerweise erste Erfahrung in der (Neuro-)Urologie | Ein vorhandener Röntgenkenntniskurs ist ein Plus, aber kein Muss",idealerweise erste Erfahrung in der (Neuro-)Urologie,5,"pay_text auf der Seite nicht gefunden, geleert",https://jobs.sana.de/de/sites/CX_4025/job/4191
Krankenhaus Rummelsberg,Schwarzenbruck,Zentrale Notaufnahme,Pflegefachkraft (m/w/d) Zentrale Notaufnahme,pflegefachkraft,,,,,,"Du hast eine abgeschlossene Ausbildung als Pflegefachkraft (m/w/d) oder eine vergleichbare Ausbildung | Du bringst Berufserfahrung in einem ähnlichen Tätigkeitsfeld mit | Eine Fachweiterbildung für Notfallpflege ist wünschenswert, jedoch keine Voraussetzung | Du verfügst über hohe soziale Kompetenz im Umgang mit Patienten und bringst Einfühlungsvermögen, Kommunikationsfähigkeiten und Freude am teamorientierten Arbeiten mit | Zudem bist du in kritischen Situationen sehr belastbar und auch in Stresssituationen freundlich | Gute Deutschkenntnisse in Wort und Schrift und der sichere Umgang mit gängigen Software-Programmen runden dein Profil ab",,5,"pay_text auf der Seite nicht gefunden, geleert",https://jobs.sana.de/de/sites/CX_4025/job/4728
Krankenhaus Rummelsberg,Schwarzenbruck,Intensivstation,Pflegefachkraft (w/m/d) für die Intensivstation,fachweiterbildung,,,unklar,,vollzeit,"Du hast eine abgeschlossene Ausbildung als Gesundheits- und Krankenpfleger oder abgeschlossenes Examen als Pflegefachmann/-frau, gerne mit Fachweiterbildung in Anästhesie- und Intensivpflege | Deine fachliche, kommunikative und soziale Kompetenz ist ausgeprägt und du bringst Verantwortungsbewusstsein sowie Engagement mit | Als Pflegeprofi liebst du deinen Job und suchst die Herausforderung auf der interdisziplinäre Intensivstation | In kritischen Situationen zeigst du dich psychisch und physisch belastbar und bleibst auch in Stresssituationen freundlich | Du bist bereit, im 3-Schicht-System zu arbeiten",,5,"pay_text auf der Seite nicht gefunden, geleert",https://jobs.sana.de/de/sites/CX_4025/job/2164
Krankenhaus Rummelsberg,Schwarzenbruck,Querschnittzentrum,Pflegefachkraft (w/m/d) im Querschnittzentrum,pflegefachkraft,,,,,vollzeit_teilzeit,"Abgeschlossene Ausbildung als Pflegefachkraft (m/w/d) – Gesundheits- und Krankenpflege, Kinderkrankenpflege oder Altenpflege | Offenheit für neurologische und rehabilitative Pflege | Empathie, Kommunikationsstärke und Teamgeist | Interesse an fachlicher Weiterentwicklung (z. B. Bobath, Basale Stimulation) | Motivation, Verantwortung zu übernehmen | Erfahrung im Bereich Querschnittpflege oder Rehabilitation ist von Vorteil – aber keine Voraussetzung",Erfahrung im Bereich Querschnittpflege oder Rehabilitation ist von Vorteil – aber keine Voraussetzung,5,,https://jobs.sana.de/de/sites/CX_4025/job/3281
Krankenhaus Rummelsberg,Schwarzenbruck,,Pflegefachmann (m/w/d),pflegefachkraft,,,,,,"Du hast eine abgeschlossene Ausbildung als Pflegefachkraft: Gesundheits- und Krankenpfleger (m/w/d) oder Altenpfleger (m/w/d) | Der einfühlsame Umgang mit Menschen bereitet dir Freude und liegt dir am Herzen | Du möchtest Teil eines engagierten Teams werden und aktiv zu einer positiven Arbeitsatmosphäre beitragen | Eigeninitiative, Anpassungsfähigkeit, Teamgeist, Engagement sowie eine zuverlässige und sorgfältige Arbeitsweise zeichnen dich aus | Die Bereitschaft zur fachlichen Weiterentwicklung rundet dein Profil ab",,5,"pay_text auf der Seite nicht gefunden, geleert",https://jobs.sana.de/de/sites/CX_4025/job/422
Krankenhaus Rummelsberg,Schwarzenbruck,OP-Bereich,Pflegfachkraft (m/w/d) Operationstechnische Assistenz,ota_ata,,,unklar,,vollzeit_teilzeit,"Abgeschlossene Ausbildung als Pflegefachkraft oder Operationstechnische Assistenz-OTA | Idealerweise Erfahrung im OP-Bereich oder Interesse an einer OP-Tätigkeit | Verantwortungsbewusste, strukturierte und zuverlässige Arbeitsweise | Hohe Teamfähigkeit und Kommunikationsstärke | Bereitschaft zu OP-, Ruf- und Bereitschaftsdiensten | Motivation zur fachlichen und persönlichen Weiterentwicklung",Idealerweise Erfahrung im OP-Bereich oder Interesse an einer OP-Tätigkeit,5,"pay_text auf der Seite nicht gefunden, geleert",https://jobs.sana.de/de/sites/CX_4025/job/5515
Krankenhaus Schwabach,Schwabach,Endoskopie,Gesundheits- und Krankenpfleger (m/w/d) Endoskopie,pflegefachkraft,,"Vergütung und Zusatzleistungen: unter anderem Jahressonderzahlung, Vermögenswirksame Leistungen und Mitarbeitenden Rabatte",unklar,,vollzeit_teilzeit,"Du hast eine abgeschlossene Ausbildung als Gesundheits- und Krankenpfleger (m/w/d), idealerweise mit mehrjähriger Berufserfahrung in der | gastroenterologischen Endoskopie einschließlich aller interventionellen Verfahren. | Eine dienstleistungsorientierte und aufgeschlossene Persönlichkeit mit Organisationstalent, Zuverlässigkeit und sehr guter Kommunikationsfähigkeit | zeichnen dich aus. | Die Arbeit mit Menschen und für Menschen bereitet dir Freude.",mehrjähriger Berufserfahrung in der gastroenterologischen Endoskopie einschließlich aller interventionellen Verfahren,3,"einzige Klinik am Portal, Ort der Anzeige unbekannt; Ort der Stelle nicht belegt",https://www.navicare.med/karriere/gesundheits--und-krankenpfleger-(m%2Fw%2Fd)-endoskopie
Krankenhaus Schwabach,Schwabach,Notaufnahme,Gesundheits- und Krankenpfleger (m/w/d) Notaufnahme,pflegefachkraft,,"Vergütung und Zusatzleistungen: unter anderem Jahressonderzahlung, Vermögenswirksame Leistungen und Mitarbeitenden Rabatte",unklar,,vollzeit_teilzeit,"Du hast eine abgeschlossene Ausbildung als Gesundheits- und Krankenpfleger (m/w/d) | und bringst idealerweise bereits berufliche Erfahrung in einer Notfallambulanz mit. | Eine Fachweiterbildung in der Notfallpflege ist wünschenswert, aber keine Voraussetzung. | Als Teamplayer (m/w/d) arbeitest du ebenso selbstständig und beherrschst die medizinische Schreib- und Ausdrucksweise sicher. | Du bist bereit, am 3-Schichtbetrieb teilzunehmen. | Du bist bereit, unser diakonisches Profil aktiv mitzugestalten.",bringst idealerweise bereits berufliche Erfahrung in einer Notfallambulanz mit,3,"einzige Klinik am Portal, Ort der Anzeige unbekannt; Ort der Stelle nicht belegt",https://www.navicare.med/karriere/gesundheits--und-krankenpfleger-(m%2Fw%2Fd)-notaufnahme
Krankenhaus Schwabach,Schwabach,Allgemeinstation,Gesundheits- und Krankenpfleger (m/w/d) für die Allgemeinstation,pflegefachkraft,,"Vergütung und Zusatzleistungen: unter anderem Jahressonderzahlung, Vermögenswirksame Leistungen und Mitarbeitenden Rabatte",unklar,,vollzeit_teilzeit,"Du hast eine abgeschlossene Ausbildung als Gesundheits- und Krankenpfleger (w/m/d) und verfügst idealerweise über erste Berufserfahrung. | Die Übernahme von Nacht- und Wochenenddiensten ist für dich selbstverständlich. | Du bist bereit, unser diakonisches Profil aktiv mitzugestalten.",verfügst idealerweise über erste Berufserfahrung,3,"einzige Klinik am Portal, Ort der Anzeige unbekannt; Ort der Stelle nicht belegt",https://www.navicare.med/karriere/gesundheits--und-krankenpfleger-(m%2Fw%2Fd)-f%C3%BCr-die-allgemeinstation
Krankenhaus Schwabach,Schwabach,OP-Pflege,Gesundheits-und Krankenpfleger (m/w/d) OP-Pflege / OTA (m/w/d),ota_ata,,"Vergütung und Zusatzleistungen: unter anderem Jahressonderzahlung, Vermögenswirksame Leistungen und Mitarbeitenden Rabatte",unklar,,vollzeit_teilzeit,"Du hast eine abgeschlossene Ausbildung als Gesundheits- und Krankenpfleger (m/w/d), idealerweise mit Fachweiterbildung in der OP-Pflege, | oder besitzt eine abgeschlossene Ausbildung zum Operationstechnischen Angestellten (m/w/d). | Du bringst Organisationstalent und administrative Erfahrung mit. | Zuverlässigkeit und Einsatzbereitschaft zeichnen dich aus. | Du bist bereit, unser diakonisches Profil aktiv mitzugestalten.",,3,"einzige Klinik am Portal, Ort der Anzeige unbekannt; Ort der Stelle nicht belegt",https://www.navicare.med/karriere/gesundheits-und-krankenpfleger-(m%2Fw%2Fd)-op-pflege-%2F-ota-(m%2Fw%2Fd)
Krankenhaus Schwabach,Schwabach,Intensivstation,Pflegefachkraft (m/w/d) für die Intensivstation,pflegefachkraft,,"Vergütung und Zusatzleistungen: unter anderem Jahressonderzahlung, Vermögenswirksame Leistungen und Mitarbeitenden Rabatte",unklar,,vollzeit_teilzeit,"Du hast eine abgeschlossene Ausbildung als Pflegefachkraft (m/w/d), idealerweise mit Fachweiterbildung im Bereich Intensiv/Anästhesie | oder mehrjähriger Berufserfahrung auf einer Intensivstation. | Du überzeugst mit deinem empathischen Auftreten sowie deiner guten Kommunikationsfähigkeit in Wort und Schrift. | Ein hohes Maß an Motivation und Lernbereitschaft bringst du mit. | Zudem beherrschst du die medizinische Schreib- und Ausdrucksweise sicher.",mehrjähriger Berufserfahrung auf einer Intensivstation,3,"einzige Klinik am Portal, Ort der Anzeige unbekannt; Ort der Stelle nicht belegt",https://www.navicare.med/karriere/pflegefachkraft-(m%2Fw%2Fd)-f%C3%BCr-die-intensivstation
